## -----------------------------------------------------------
## adapted from YF: ion_35mrad_IP2_15Mar2021.txt (downloaded on 3/29/21)
## https://gitlab.com/eic/escalate/g4e/-/blob/511b4f84c241abc4f2890c93807f0e12b72565fd/resources/ip8/mdi/ion_35mrad_IP2_15Mar2021.txt
## for 275 GeV protons
##
##   name    center_x center_y center_z rin(z-in) rin(z-out)  dout   length   angle      B      gradient
##             [m]      [m]      [m]      [m]        [m]      [m]      [m]   [mrad]     [T]      [T/m]
##
BXUS01	-0.597507719	0	-17.73979064	0.04	0.04	0.28	4.5	24.5	-4.280739283	0
QFFUS03	-0.446158896	0	-12.74219143	0.04	0.04	0.28	4.5	35	0	55.53995482
QFFUS02	-0.290440693	0	-8.294916769	0.04	0.04	0.28	1.4	35	0	-76.56831969
QFFUS01	-0.216955699	0	-6.196202888	0.04	0.04	0.28	1.8	35	0	-103.7813166
BXSP01	0.212107164	0	6.096309123	0.252	0.252	0.724	1.2	0	4.586506375	0
QFFDS01A	0.274347993	0	8.195384742	0.06436	0.06436	0.2878	2.0	29	0	-54.58805767
QFFDS01B	0.349737424	0	10.79429152	0.08326	0.08326	0.3878	2.2	29	0	-54.58805767
QFFDS02A	0.442524418	0	13.99294601	0.1056	0.1056	0.5158	2.2	29	0	36.49190071
QFFDS02B	0.523713037	0	16.7917687	0.1259	0.1259	0.6236	2.4	29	0	36.49190071
BXDS01A	0.608065176	0	19.9906327	0.1504	0.1504	0.5008	3.0	21.5	4.586506375	0
BXDS01B	0.88392884	0	38.48851318	0.04	0.04	0.28	3.0	21.5	-4.586506375	0
QDS01	0.95523281	0	41.2375664	0.04	0.04	0.28	1.5	29	0	-3.829105182
QDS02	1.114710454	0	46.73525381	0.04	0.04	0.28	1.5	29	0	0
