ID,Radius,Pad,U,G,Pin,PinColID,PinRowID,FEE,FEE_Connector,FEE_Chan
129,0,0,2,1,B4,1,4,11.0,J1,25
152,0,1,2,1,C3,2,3,11.0,J1,29
181,0,2,2,1,D8,3,8,11.0,J1,3
204,0,3,2,1,E7,4,7,11.0,J1,7
227,0,4,2,1,F6,5,6,11.0,J1,11
130,0,5,2,1,B5,1,5,11.0,J1,18
153,0,6,2,1,C4,2,4,11.0,J1,22
176,0,7,2,1,D3,3,3,11.0,J1,26
205,0,8,2,1,E8,4,8,11.0,J1,0
228,0,9,2,1,F7,5,7,11.0,J1,4
131,0,10,2,1,B6,1,6,11.0,J1,15
154,0,11,2,1,C5,2,5,11.0,J1,19
177,0,12,2,1,D4,3,4,11.0,J1,23
200,0,13,2,1,E3,4,3,11.0,J1,27
229,0,14,2,1,F8,5,8,11.0,J1,1
249,0,15,2,1,F2,5,2,11.0,J1,31
385,0,16,4,1,B4,1,4,10.0,J1,25
408,0,17,4,1,C3,2,3,10.0,J1,29
437,0,18,4,1,D8,3,8,10.0,J1,3
460,0,19,4,1,E7,4,7,10.0,J1,7
483,0,20,4,1,F6,5,6,10.0,J1,11
386,0,21,4,1,B5,1,5,10.0,J1,18
409,0,22,4,1,C4,2,4,10.0,J1,22
432,0,23,4,1,D3,3,3,10.0,J1,26
461,0,24,4,1,E8,4,8,10.0,J1,0
484,0,25,4,1,F7,5,7,10.0,J1,4
387,0,26,4,1,B6,1,6,10.0,J1,15
410,0,27,4,1,C5,2,5,10.0,J1,19
433,0,28,4,1,D4,3,4,10.0,J1,23
456,0,29,4,1,E3,4,3,10.0,J1,27
485,0,30,4,1,F8,5,8,10.0,J1,1
505,0,31,4,1,F2,5,2,10.0,J1,31
641,0,32,6,1,B4,1,4,9.0,J1,25
664,0,33,6,1,C3,2,3,9.0,J1,29
693,0,34,6,1,D8,3,8,9.0,J1,3
716,0,35,6,1,E7,4,7,9.0,J1,7
739,0,36,6,1,F6,5,6,9.0,J1,11
642,0,37,6,1,B5,1,5,9.0,J1,18
665,0,38,6,1,C4,2,4,9.0,J1,22
688,0,39,6,1,D3,3,3,9.0,J1,26
717,0,40,6,1,E8,4,8,9.0,J1,0
740,0,41,6,1,F7,5,7,9.0,J1,4
643,0,42,6,1,B6,1,6,9.0,J1,15
666,0,43,6,1,C5,2,5,9.0,J1,19
689,0,44,6,1,D4,3,4,9.0,J1,23
712,0,45,6,1,E3,4,3,9.0,J1,27
741,0,46,6,1,F8,5,8,9.0,J1,1
761,0,47,6,1,F2,5,2,9.0,J1,31
897,0,48,8,1,B4,1,4,8.0,J1,25
920,0,49,8,1,C3,2,3,8.0,J1,29
949,0,50,8,1,D8,3,8,8.0,J1,3
972,0,51,8,1,E7,4,7,8.0,J1,7
995,0,52,8,1,F6,5,6,8.0,J1,11
898,0,53,8,1,B5,1,5,8.0,J1,18
921,0,54,8,1,C4,2,4,8.0,J1,22
944,0,55,8,1,D3,3,3,8.0,J1,26
899,0,56,8,1,B6,1,6,8.0,J1,15
922,0,57,8,1,C5,2,5,8.0,J1,19
945,0,58,8,1,D4,3,4,8.0,J1,23
968,0,59,8,1,E3,4,3,8.0,J1,27
997,0,60,8,1,F8,5,8,8.0,J1,1
1017,0,61,8,1,F2,5,2,8.0,J1,31
973,0,62,8,1,E8,4,8,8.0,J1,0
996,0,63,8,1,F7,5,7,8.0,J1,4
1153,0,64,10,1,B4,1,4,7.0,J1,25
1176,0,65,10,1,C3,2,3,7.0,J1,29
1205,0,66,10,1,D8,3,8,7.0,J1,3
1154,0,67,10,1,B5,1,5,7.0,J1,18
1177,0,68,10,1,C4,2,4,7.0,J1,22
1200,0,69,10,1,D3,3,3,7.0,J1,26
1155,0,70,10,1,B6,1,6,7.0,J1,15
1178,0,71,10,1,C5,2,5,7.0,J1,19
1201,0,72,10,1,D4,3,4,7.0,J1,23
1224,0,73,10,1,E3,4,3,7.0,J1,27
1253,0,74,10,1,F8,5,8,7.0,J1,1
1273,0,75,10,1,F2,5,2,7.0,J1,31
1229,0,76,10,1,E8,4,8,7.0,J1,0
1252,0,77,10,1,F7,5,7,7.0,J1,4
1228,0,78,10,1,E7,4,7,7.0,J1,7
1251,0,79,10,1,F6,5,6,7.0,J1,11
1409,0,80,12,1,B4,1,4,6.0,J1,25
1410,0,81,12,1,B5,1,5,6.0,J1,18
1433,0,82,12,1,C4,2,4,6.0,J1,22
1456,0,83,12,1,D3,3,3,6.0,J1,26
1411,0,84,12,1,B6,1,6,6.0,J1,15
1434,0,85,12,1,C5,2,5,6.0,J1,19
1457,0,86,12,1,D4,3,4,6.0,J1,23
1480,0,87,12,1,E3,4,3,6.0,J1,27
1509,0,88,12,1,F8,5,8,6.0,J1,1
1529,0,89,12,1,F2,5,2,6.0,J1,31
1485,0,90,12,1,E8,4,8,6.0,J1,0
1508,0,91,12,1,F7,5,7,6.0,J1,4
1432,0,92,12,1,C3,2,3,6.0,J1,29
1461,0,93,12,1,D8,3,8,6.0,J1,3
1484,0,94,12,1,E7,4,7,6.0,J1,7
1507,0,95,12,1,F6,5,6,6.0,J1,11
1666,0,96,14,1,B5,1,5,5.0,J1,18
1667,0,97,14,1,B6,1,6,5.0,J1,15
1690,0,98,14,1,C5,2,5,5.0,J1,19
1713,0,99,14,1,D4,3,4,5.0,J1,23
1736,0,100,14,1,E3,4,3,5.0,J1,27
1765,0,101,14,1,F8,5,8,5.0,J1,1
1785,0,102,14,1,F2,5,2,5.0,J1,31
1689,0,103,14,1,C4,2,4,5.0,J1,22
1712,0,104,14,1,D3,3,3,5.0,J1,26
1741,0,105,14,1,E8,4,8,5.0,J1,0
1764,0,106,14,1,F7,5,7,5.0,J1,4
1665,0,107,14,1,B4,1,4,5.0,J1,25
1688,0,108,14,1,C3,2,3,5.0,J1,29
1717,0,109,14,1,D8,3,8,5.0,J1,3
1740,0,110,14,1,E7,4,7,5.0,J1,7
1763,0,111,14,1,F6,5,6,5.0,J1,11
1923,0,112,16,1,B6,1,6,4.0,J1,15
1946,0,113,16,1,C5,2,5,4.0,J1,19
1969,0,114,16,1,D4,3,4,4.0,J1,23
1992,0,115,16,1,E3,4,3,4.0,J1,27
2021,0,116,16,1,F8,5,8,4.0,J1,1
2041,0,117,16,1,F2,5,2,4.0,J1,31
1922,0,118,16,1,B5,1,5,4.0,J1,18
1945,0,119,16,1,C4,2,4,4.0,J1,22
1968,0,120,16,1,D3,3,3,4.0,J1,26
1997,0,121,16,1,E8,4,8,4.0,J1,0
2020,0,122,16,1,F7,5,7,4.0,J1,4
1921,0,123,16,1,B4,1,4,4.0,J1,25
1944,0,124,16,1,C3,2,3,4.0,J1,29
1973,0,125,16,1,D8,3,8,4.0,J1,3
1996,0,126,16,1,E7,4,7,4.0,J1,7
2019,0,127,16,1,F6,5,6,4.0,J1,11
2179,0,128,18,1,B6,1,6,3.0,J1,15
